text,label,auto_label_confidence,label_encoded
completionhistory_question,Problem,0.0,2
"""internet mati nih",Problem,1.0,2
"""harga stb berapa ya?",Information,1.0,1
"""internet saya putus sambung",Problem,1.0,2
"""mengapa saya tidak dapat mengisi formulir relokasi? setelah disubmit hanya blank",Request,0.6666666666666666,3
"""mengapa ketika ingin melakukan pembayaran tidak dapat diproses?",Information,1.0,1
"""bisa dibantu informasikan prosedur pergantian paket layanan?",Information,1.0,1
"""apakah untuk pergantian paket layanan bisa sekaligus bundling promo tahunan?",Information,1.0,1
"""apakah jika saat proses pergantian paket layanan melalui apps mybiznet  terdapat kendala salah order bisa dicancel?",Problem,0.6666666666666666,2
"""internet mati",Problem,1.0,2
"""apakah order promo bisa diproses berkali-kali?",Information,1.0,1
"""internet saya mati min dari semalam",Problem,1.0,2
"""sudah dicoba restart tapi masih sama",Problem,0.0,2
"""apa saja syarat untuk pergantian nama akun biznet?",Information,1.0,1
"""berapa lama proses pergantian nama akun biznet?",Information,1.0,1
"""apakah bisa request pemisahan akun jika dalam satu akun terdaftar 2 billing pembayaran?",Information,1.0,1
"""saya mau pasang baru",Request,1.0,3
"""ingin pasang baru",Request,1.0,3
"""apakah untuk pergantian email dan nomor telepon terdaftar harus mengisi form pergantian data?",Information,1.0,1
"""ingin pasang baru di jonggol paket 0d",Request,1.0,3
"""bogor gunung putri",Problem,0.0,2
"""boleh bantu ke cs ya",Problem,0.0,2
"""perum bdb 2 blok as 12a rt 06 rw 13",Problem,0.0,2
"""syarat relokasi apa saja?",Information,0.7142857142857143,1
"""cara mengecek cakupan area melalui apa ya?",Information,1.0,1
"""proses relokasi berapa lama?",Information,0.6,1
"""bilamana alamat baru belum tercakup layanan biznet apakah akun saya bisa dialihkan ke orang lain?",Information,1.0,1
"""bilamana alamat baru belum tercakup layanan biznet, syarat terminasi apa saja?",Information,0.7142857142857143,1
"""setelah pengisian form terminasi saya harus menunggu berapa lama untuk akun diterimasi?",Information,0.6,1
"""jika saya terminasi sebelum masa kontak langganan berakhir dikarenakan alamat baru belum tercakup apakah  tidak dikenakan biaya pinati?",Information,0.6,1
"""bilamana kedepannnya saya ingin berlangganan kembali apakah bisa menggunakan akun yang sebelumnya?",Information,1.0,1
"""apakah bisa freeze akun?",Information,1.0,1
"""apakah bisa jika saya tidak bayar sebulan karena akan keluar kota?",Information,1.0,1
"""jika saya tidak melakukan pembayaran sebulan apakah dikenakan pinalti?",Information,1.0,1
"""bagaimana cara pendaftaran kartu kredit?",Information,1.0,1
"""apa saja paket yang tersedia di biznet?",Information,1.0,1
"""bagaimana cara beli modem?",Information,0.6,1
"""ini kenapa ya los merah menyala pada modem saya?",Problem,0.8333333333333334,2
"""bisa dicek id pelanggan 1000308564 los meah menyala sejak pagi?",Problem,0.6666666666666666,2
"""los merah menyala sejak pagi",Problem,1.0,2
"""pada modem saya lampu merah menyala sejak pagi, bisa dicek?",Problem,0.6666666666666666,2
"""apakah ada kompensasi jika koneksi internet biznet terputus berhari-hari?",Problem,0.6666666666666666,2
"""bagaimana jika saya salah melakukan pembayaran ke akun biznet orang lain, apakah uang saya bisa direfund?",Information,1.0,1
"""kamu sebagai apa di biznet",Problem,0.0,2
"""apa kah kamu kenal dengan pak adi",Problem,0.0,2
"""siapa owner biznet",Problem,0.0,2
"""itu kamu tau pak adi owner biznet tadi ditanya gak tau",Problem,0.0,2
"""saya minta no whatsapp nya dong",Request,1.0,3
"""estimasi kunjungan teknisi biznet",Request,1.0,3
"""channel iptv biznet apa aja ya ?",Information,1.0,1
"""mau refund dana biznet",Problem,0.0,2
"""beberapa website tidak bisa diakses",Problem,1.0,2
"""bagaimana cara cek ip server game valorant ?",Information,1.0,1
"""berapa jarak ideal dari dp terdekat ke rumah untuk pemasangan ?",Information,0.6,1
"""cara relokasi layanan",Request,1.0,3
"""psn tidak bisa konek",Problem,1.0,2
"""chromecast tidak bisa digunakan.",Problem,1.0,2
"""perbedaan frekuensi modem 2.4ghz dan 5ghz .",Problem,1.0,2
"""modem biznet wifi berapa ?",Information,0.6,1
"""apakah modem biznet sudah support wifi 6 ?",Problem,0.6666666666666666,2
"""perbedaan wifi 5 dan wifi 6 modem ?",Problem,0.6666666666666666,2
"""mau mengajukan sponsorship",Problem,0.0,2
"""saya salah melakukan pembayaran ke akun orang lain",Problem,0.0,2
"""apa kelemahan koneksi dengan fiber ?",Information,1.0,1
"""kelemahan koneksi wifi",Problem,0.0,2
"""fungsi parental control modem dan caranya",Problem,1.0,2
"""fungsi whitelist di modem",Problem,1.0,2
"""fungsi blacklist modem",Problem,1.0,2
"""apa itu ddns ?",Information,1.0,1
"""bagaimana cara mengatur ddns ?",Information,1.0,1
"""cara pembayaran biznet home.",Problem,0.0,2
"""kuota habis",Problem,0.0,2
"""kuota saya tidak ter reset",Problem,0.0,2
"""kenapa biznet tidak bisa menggunakan dns google .",Problem,1.0,2
"""rekomendasi router dari biznet",Problem,1.0,2
"""rekomendasi router tambahan dari biznet",Problem,1.0,2
"""internet saya down sudah 2 hari apa ada kompensasi ?",Problem,0.6666666666666666,2
"""minimal speed yang didapatkan layanan 0d ?",Information,1.0,1
"""balik nama akun.",Problem,0.0,2
"""berapa perangkat untuk 0d ?",Information,1.0,1
"""apa itu biznet wifi ?",Information,1.0,1
"""hotspot biznet",Problem,0.0,2
"""cara ganti layanan home ke metronet",Problem,0.0,2
"""internet saya down sejak semalam",Problem,1.0,2
"""informasi harga paket area manado min",Information,1.0,1
"""promo berlangganan 2d buy daerah bogor",Information,1.0,1
"""mau beli ekstra kuota gimana",Problem,0.0,2
"""email biznet home",Problem,0.0,2
"""hotline biznet home",Problem,0.0,2
"""harga promo 1d 12+5 jakarta",Information,1.0,1
"""ping tinggi",Problem,1.0,2
"""cctv saya tidak berfungsi dengan koneksi biznet sementara koneksi lain tidak ada kendala.",Problem,1.0,2
"""saya tidak bisa akses app biznet",Problem,1.0,2
"""tidak dapat membuka halaman aplikasi di situs https://app.biznet.id.",Problem,0.0,2
"""tidak dapat login ke akun anda di https://app.biznet.id.",Problem,0.0,2
"""cara cek coverage area",Request,1.0,3
"""apakah saya bisa menambah add on iptv ?",Request,0.6666666666666666,3
"""apa syarat untuk berhenti berlangganan ?",Information,0.6,1
"""cara pasang router tambahan",Problem,1.0,2
"""kok bandwidth yang kudapat ngga sesuai sih???",Information,0.75,1
"""iya router seperti tenda",Problem,1.0,2
"""kapan teknisinya datang",Information,1.0,1
"""kok tanggal jatuh tempo nya maju terus ya?",Problem,0.5,2
"""adakah perubahan nomor pelanggan utk biznet saya?",Information,1.0,1
"""adakah perubahan nomor id pelanggan utk biznet saya?",Information,1.0,1
"""kenapa my biznet saya ada 2 akun atas nama orang lain?",Problem,0.5,2
"""saya tidak dapat mengirim dan menerimal email",Problem,0.0,2
"""modemnya rental sampai kapan ya?",Information,1.0,1
"""tanggal berapa biasanya akan terdebet?",Information,1.0,1
"""tanggal berapa cc biasanya akan terdebet?",Information,1.0,1
"""untuk permintaan add on kouta bisa melalui apa saja?",Information,0.6,1
"""bisa diinformasikan untuk reset kouta setiap tanggal berapa?",Information,1.0,1
"""bisa dicek id pelanggan ini 1000308564 los merah menyala?",Problem,0.6666666666666666,2
"""di nabire sudah kaver belum",Problem,0.0,2
"""apakah bisa cek status internet saya",Problem,0.0,2
"""koneksi terputus",Problem,1.0,2
"""kalo lambat gmn",Problem,1.0,2
"""kalo internet lambat gmn ceknya",Problem,1.0,2
"""apakah bisa melakukan perubahan paket?",Information,1.0,1
"""mau tanya, kalo ini pingnya sesuai ga?",Information,1.0,1
"""cara relokasi",Request,1.0,3
"""cara tau jumlah prangkat terhubng gimana",Problem,0.0,2
"""cara membeli promo",Information,1.0,1
"""di batam ada layanan apa aja",Problem,0.0,2
"""kapan teknisi datang",Information,1.0,1
"""internet saya ada loss merah",Problem,0.0,2
"""cara mengetahui cakupan area",Problem,0.0,2
"""call center homecare",Problem,0.0,2
"""berapa suhu modem seharusnya",Problem,0.5,2
"""internet saya lambat",Problem,1.0,2
"""nomor call center homcare berapa",Information,1.0,1
"""harga promo home internet 1d",Information,1.0,1
