text,label,auto_label_confidence
completionHistory_question,Problem,0.0
"""Internet mati nih""",Problem,1.0
"""Harga STB berapa ya?""",Information,1.0
"""Internet saya putus sambung""",Problem,1.0
"""Mengapa saya tidak dapat mengisi formulir relokasi? setelah disubmit hanya blank""",Request,0.6666666666666666
"""mengapa ketika ingin melakukan pembayaran tidak dapat diproses?""",Information,1.0
"""bisa dibantu informasikan prosedur pergantian paket layanan?""",Information,1.0
"""apakah untuk pergantian paket layanan bisa sekaligus bundling promo tahunan?""",Information,1.0
"""apakah jika saat proses pergantian paket layanan melalui Apps MyBiznet  terdapat kendala salah order bisa dicancel?""",Problem,0.6666666666666666
"""Internet mati""",Problem,1.0
"""apakah order promo bisa diproses berkali-kali?""",Information,1.0
"""Internet saya mati min dari semalam""",Problem,1.0
"""sudah dicoba restart tapi masih sama""",Problem,0.0
"""apa saja syarat untuk pergantian nama akun biznet?""",Information,1.0
"""berapa lama proses pergantian nama akun biznet?""",Information,1.0
"""apakah bisa request pemisahan akun jika dalam satu akun terdaftar 2 billing pembayaran?""",Information,1.0
"""saya mau pasang baru""",Request,1.0
"""Ingin pasang baru""",Request,1.0
"""apakah untuk pergantian email dan nomor telepon terdaftar harus mengisi form pergantian data?""",Information,1.0
"""Ingin pasang baru di jonggol paket 0d""",Request,1.0
"""bogor gunung putri""",Problem,0.0
"""boleh bantu ke cs ya""",Problem,0.0
"""Perum BDB 2 blok AS 12A rt 06 rw 13""",Problem,0.0
"""syarat relokasi apa saja?""",Information,0.7142857142857143
"""cara mengecek cakupan area melalui apa ya?""",Information,1.0
"""proses relokasi berapa lama?""",Information,0.6
"""bilamana alamat baru belum tercakup layanan biznet apakah akun saya bisa dialihkan ke orang lain?""",Information,1.0
"""bilamana alamat baru belum tercakup layanan biznet, syarat terminasi apa saja?""",Information,0.7142857142857143
"""setelah pengisian form terminasi saya harus menunggu berapa lama untuk akun diterimasi?""",Information,0.6
"""jika saya terminasi sebelum masa kontak langganan berakhir dikarenakan alamat baru belum tercakup apakah  tidak dikenakan biaya pinati?""",Information,0.6
"""bilamana kedepannnya saya ingin berlangganan kembali apakah bisa menggunakan akun yang sebelumnya?""",Information,1.0
"""apakah bisa freeze akun?""",Information,1.0
"""apakah bisa jika saya tidak bayar sebulan karena akan keluar kota?""",Information,1.0
"""jika saya tidak melakukan pembayaran sebulan apakah dikenakan pinalti?""",Information,1.0
"""bagaimana cara pendaftaran kartu kredit?""",Information,1.0
"""apa saja paket yang tersedia di biznet?""",Information,1.0
"""bagaimana cara beli modem?""",Information,0.6
